name_fr,description_pt,category,gluten,milk,egg,peanut,soy,price,active,source_pdf,source_date,price_raw
"1/4PAILLARD
AUX GRAINES","farinha de trigo semi-integral
orgânica, levedura natural, cereais",Breads,TRUE,TRUE,,,,8.00,TRUE,Plano etiquetas pão 11-12-25.pdf,2025-12-11,"8,00€"
"1/8-1/4
PAILLARD CLASSIC","farinha de trigo semi-integral orgânica,
levedura natural
Farinhas 100% BIO",Breads,TRUE,,,,,3.25,TRUE,Plano etiquetas pão 11-12-25.pdf,2025-12-11,"3,25€ / 6,50€"
"1/8-1/4
PAILLARDAUX GRAINES","farinha de trigo semi-integral orgânica,
levedura natural, cereais
Farinhas 100% BIO",Breads,TRUE,TRUE,,,,4.50,TRUE,Plano etiquetas pão 11-12-25.pdf,2025-12-11,"4,50€ / 9,00€"
"BAGUETTE
AUX GRAINES","farinha de trigo orgânica,
levedura natural, cereais
Farinhas 100% BIO",Breads,TRUE,TRUE,,,,2.20,TRUE,Plano etiquetas pão 11-12-25.pdf,2025-12-11,"2,20€"
"BAGUETTE
TRADITION","farinha de trigo orgânica,
levedura natural
Farinhas 100% BIO",Breads,TRUE,,,,,1.90,TRUE,Plano etiquetas pão 11-12-25.pdf,2025-12-11,"1,90€"
BAGUETTE EPIS,"farinha de trigo orgânica,
levedura natural
Farinhas 100% BIO",Breads,TRUE,,,,,1.90,TRUE,Plano etiquetas pão 11-12-25.pdf,2025-12-11,"1,90€"
BERINGELA PAILLARD,"Beringela Marinada
pasta de Tomate e Coallsada",Breads,TRUE,,,,,7.00,TRUE,Plano etiquetas snacks 13-6-24 - Campo Cruffins sales.pdf,2024-06-13,"7,00€"
BRIOCHE,Creme de Amêndoa,Breads,TRUE,TRUE,,,,2.50,TRUE,Plano etiquetas pão 11-12-25.pdf,2025-12-11,"2,50€"
"BRIOCHE
AU BEURRE","massa de brioche com
manteiga DOP francesa",Breads,TRUE,TRUE,TRUE,,,1.00,TRUE,Plano etiquetas CRUFFIN vierge April 2025.pdf,2025-04-01,"1,00€"
"BRIOCHE
AUSUCRE","massa de brioche com manteiga
DOP francesa, açúcar perolado",Breads,TRUE,TRUE,TRUE,,,2.20,TRUE,Plano etiquetas pão 11-12-25.pdf,2025-12-11,"2,20€"
BUN BRIOCHE,"massa de pão de leite com
manteiga DOP francesa",Breads,TRUE,TRUE,,,,1.50,TRUE,Plano etiquetas pão 11-12-25.pdf,2025-12-11,"1,50€"
"COURONNE
CLASSIQUE","farinha de trigo orgânica,
levedura natural,linhaça branca
Farinhas 100% BIO",Breads,TRUE,,,,,5.90,TRUE,Plano etiquetas Special Nov 24.pdf,2024-11-01,"5,90€"
"ESPELTA
PEQUENO","petite epeautre
Farinhas 100% BIO",Breads,TRUE,,,,,6.50,TRUE,Plano etiquetas Special Nov 24.pdf,2024-11-01,"6,50€"
"FICELLE
TRADITION","farinha de trigo orgânica,
levedura natural",Breads,TRUE,,,,,0.90,TRUE,Plano etiquetas pão 11-12-25.pdf,2025-12-11,"0,90€"
FLUTE LULLY,"farinha de trigo orgânica,
levedura natural",Breads,TRUE,,,,,3.90,TRUE,Plano etiquetas pão 11-12-25.pdf,2025-12-11,"3,90€"
FOLHADO,"C rema de Queijo
de Cabra",Breads,TRUE,TRUE,TRUE,TRUE,TRUE,2.80,TRUE,Plano etiquetas pão 11-12-25.pdf,2025-12-11,"2,80€"
FOUGASSE,,Breads,TRUE,TRUE,TRUE,TRUE,TRUE,3.50,TRUE,Plano etiquetas pão 11-12-25.pdf,2025-12-11,"3,50€"
GRANDE BRIOCHE,"massa de brioche com
manteiga DOP francesa",Breads,TRUE,TRUE,TRUE,TRUE,TRUE,9.50,TRUE,Plano etiquetas CRUFFIN vierge April 2025.pdf,2025-04-01,"9,50€"
LE FACHEUX,"farinha branca - Massa Mãe
Farinhas 100% BIO",Breads,TRUE,,,,,5.80,TRUE,Plano etiquetas pão 11-12-25.pdf,2025-12-11,"5,80€"
METEIL-CENTEIO,"pão de farinha de centeio, farinha
de trigo semi integral, massa mãe
Farinhas 100% BIO",Breads,TRUE,,,,,4.80,TRUE,Plano etiquetas pão 11-12-25.pdf,2025-12-11,"4,80€"
MONTPENSIER,"farinha de trigo orgânica,
levedura natural,linhaça branca
Farinhas 100% BIO",Breads,TRUE,,,,,6.90,TRUE,Plano etiquetas pão 11-12-25.pdf,2025-12-11,"6,90€"
"PAILLARD
AUXFRUITSSECS","farinha de trigo semi-integral
orgânica, levedura natural, frutas",Breads,TRUE,TRUE,TRUE,,,8.00,TRUE,Plano etiquetas pão MIOSOTIS 8-11-24.pdf,2024-11-08,"8,00€"
PAILLARD CLASSIC,"Farinhas Organico
farinha de trigo semi-integral orgânica,
levedura natural - Farinhas 100% BIO",Breads,,,,,,7.90,TRUE,Plano etiquetas pão 13-6-24.pdf,2024-06-13,"7,90€ / Kg"
PAILLARD ENTIER,"farinha de trigo semi-integral orgânica,
levedura natural
Farinhas 100% BIO",Breads,TRUE,,,,,26.00,TRUE,Plano etiquetas pão 11-12-25.pdf,2025-12-11,"26,00€"
"SHITAKE VEGAN
BAGUETTE",Creme de cajou fumado & Relish,Breads,TRUE,,,TRUE,TRUE,7.00,TRUE,Plano etiquetas snacks 13-6-24 - Campo Cruffins sales.pdf,2024-06-13,"7,00€"
"SPELTA
PEQUENO","petite epeautre
Farinhas 100% BIO",Breads,TRUE,,,,,6.50,TRUE,Plano etiquetas pão 11-12-25.pdf,2025-12-11,"6,50€"
"petit BATTISTA
BATTISTA double","farinha de trigo orgânica, levedura natural
Farinhas 100% BIO",Breads,TRUE,,,,,0.50,TRUE,Plano etiquetas pão 11-12-25.pdf,2025-12-11,"0,50€ / 1,00€"
CHOUQUETTES,S em Creme,Viennoiseries,TRUE,TRUE,TRUE,,,0.35,TRUE,Plano etiquetas pão 11-12-25.pdf,2025-12-11,"0,35€"
CINNAMONROLL,,Viennoiseries,TRUE,TRUE,TRUE,TRUE,TRUE,3.00,TRUE,Plano etiquetas CRUFFIN vierge April 2025.pdf,2025-04-01,"3,00€"
COCO&CHOC,"massa de croissant, mateiga DOP Francesa
creme de coco, chocolate negro",Viennoiseries,TRUE,TRUE,TRUE,TRUE,TRUE,2.50,TRUE,Plano etiquetas (Vienn)13-6-24 Pomme.pdf,2024-06-13,"2,50€"
CRESTO!,"Croissant de Pesto: massa de croissant,
manteiga DOP Francesa, Pesto caseiro",Viennoiseries,TRUE,TRUE,TRUE,TRUE,TRUE,2.40,TRUE,Plano etiquetas (Vienn)13-6-24 Pomme.pdf,2024-06-13,"2,40€"
"CROISSANT
AMANDES","massa de croissant, manteiga DOP Francesa
creme de amêndoa, lascas de amêndoa",Viennoiseries,TRUE,TRUE,TRUE,TRUE,,2.50,TRUE,Plano etiquetas CRUFFIN vierge April 2025.pdf,2025-04-01,"2,50€"
"CROISSANT
AU BEURRE","massa folhada com
manteiga DOP francesa",Viennoiseries,TRUE,TRUE,TRUE,,,2.10,TRUE,Plano etiquetas CRUFFIN vierge April 2025.pdf,2025-04-01,"2,10€"
"CROISSANT
MONSIEUR","Sauce Béchamel Maison
Jambon Artisanal
Émmenthal d'Alpage",Viennoiseries,TRUE,TRUE,TRUE,,,7.20,TRUE,Plano etiquetas snacks 13-6-24 - Croissant Mr.pdf,2024-06-13,"7,20€"
"CROISSANT
NOISETTES","massa de croissant, manteiga DOP Francesa
creme de avelãs, lascas de amêndoa",Viennoiseries,TRUE,TRUE,TRUE,TRUE,,2.50,TRUE,Plano etiquetas (Vienn)13-6-24 Pomme.pdf,2024-06-13,"2,50€"
CROISSANT MISTO,"Queijo (French AOP Comté)
Artisanal Fiambre",Viennoiseries,TRUE,TRUE,TRUE,,,4.50,TRUE,New Prices June 2025.pdf,2025-06-01,"4,50€"
CROOKIE,"croissant com manteiga DOP Francesa
massa de cookie com chocolate negro",Viennoiseries,TRUE,TRUE,TRUE,TRUE,TRUE,4.80,TRUE,Plano etiquetas (Vienn)13-6-24 Pomme.pdf,2024-06-13,"4,80€"
CRUFFIN,"massa de croissant
manteiga DOP Francesa",Viennoiseries,TRUE,TRUE,TRUE,TRUE,,3.80,TRUE,New Paris Brest May 2025.pdf,2025-05-01,"3,80€"
"CRUFFIN
MUSHROOM","Duxelle de Champignons
Mélange de Fromages",Viennoiseries,TRUE,TRUE,TRUE,,,5.80,TRUE,Plano etiquetas snacks 13-6-24 - Campo Cruffins sales.pdf,2024-06-13,"5,80€"
"KOUIGN AMAN
GRAND","massa folhada com manteiga
DOP francesa, calda de açúcar",Viennoiseries,TRUE,TRUE,,,,10.00,TRUE,Plano etiquetas CRUFFIN vierge April 2025.pdf,2025-04-01,"10,00€"
KOUIGN AMANN,"massa folhada com manteiga
DOP francesa, calda de açúcar",Viennoiseries,TRUE,TRUE,,,,2.70,TRUE,Plano etiquetas CRUFFIN vierge April 2025.pdf,2025-04-01,"2,70€"
"MINI-CROISSANT
DEMANTEIGA","massa folhada com
manteiga DOP francesa",Viennoiseries,TRUE,TRUE,TRUE,,,1.00,TRUE,Plano etiquetas CRUFFIN vierge April 2025.pdf,2025-04-01,"1,00€"
"MINI-PAIN
AU CHOCOLAT","massa folhada com manteiga
DOP francesa, chocolate negro",Viennoiseries,TRUE,TRUE,TRUE,TRUE,,1.20,TRUE,Plano etiquetas CRUFFIN vierge April 2025.pdf,2025-04-01,"1,20€"
PAIN SUISSE,,Viennoiseries,TRUE,TRUE,TRUE,TRUE,TRUE,2.50,TRUE,Plano etiquetas CRUFFIN vierge April 2025.pdf,2025-04-01,"2,50€"
"PAINAU
CHOCOLAT","massa folhada com manteiga
DOP francesa, chocolate negro",Viennoiseries,TRUE,TRUE,TRUE,,,2.40,TRUE,Plano etiquetas pão 11-12-25.pdf,2025-12-11,"2,40€"
"PAINAU CHOC
AMANDES","massa folhada com manteiga DOP Francesa
chocolate negro, creme e lascas de amêndoa",Viennoiseries,TRUE,TRUE,TRUE,TRUE,TRUE,2.80,TRUE,Plano etiquetas CRUFFIN vierge April 2025.pdf,2025-04-01,"2,80€"
PAINAUMAIS,"farinha de milho,
levedura natural",Viennoiseries,TRUE,,,,,3.50,TRUE,Plano etiquetas pão MIOSOTIS 8-11-24.pdf,2024-11-08,"3,50€"
TORSADE,Fiambre,Viennoiseries,TRUE,TRUE,TRUE,,,2.80,TRUE,New Prices June 2025.pdf,2025-06-01,"2,80€"
"TORSADE
CHORIZO",,Viennoiseries,TRUE,TRUE,TRUE,,,2.80,TRUE,Plano etiquetas Special Nov 24.pdf,2024-11-01,"2,80€"
TORSADE CHOC,"massa de croissant, mateiga DOP Francesa
creme pasteleiro, pepitas de chocolate",Viennoiseries,TRUE,TRUE,TRUE,TRUE,TRUE,2.40,TRUE,Plano etiquetas (Vienn)13-6-24 Pomme.pdf,2024-06-13,"2,40€"
"TOURBILLON
CHOC","massa de croissant, mateiga DOP Francesa
creme pasteleiro, pepitas de chocolate",Viennoiseries,TRUE,TRUE,TRUE,TRUE,TRUE,2.40,TRUE,Plano etiquetas (Vienn)13-6-24 Pomme.pdf,2024-06-13,"2,40€"
BROWNIE,brownie de chocolate negro,Gateaux de voyage,TRUE,TRUE,TRUE,TRUE,TRUE,2.80,TRUE,Plano etiquetas FRUTOS Secos Nov 24.pdf,2024-11-01,"2,80€"
"CAKE
AU CHOCOLAT",bolo de chocolate negro,Gateaux de voyage,TRUE,TRUE,TRUE,TRUE,TRUE,9.00,TRUE,Plano etiquetas FRUTOS Secos Nov 24.pdf,2024-11-01,"9,00€"
CAKEAU CITRON,bolo de citrinos,Gateaux de voyage,TRUE,TRUE,TRUE,,,7.50,TRUE,Plano etiquetas FRUTOS Secos Nov 24.pdf,2024-11-01,"7,50€"
"CANNELÉ
BORDELAIS","cannele caramelizado,
baunilha e rum",Gateaux de voyage,TRUE,TRUE,TRUE,,,2.20,TRUE,Plano etiquetas FRUTOS Secos Nov 24.pdf,2024-11-01,"2,20€"
"COOKIE
AU CHOCOLAT",cookie de chocolate negro,Gateaux de voyage,TRUE,TRUE,TRUE,TRUE,TRUE,2.80,TRUE,Plano etiquetas FRUTOS Secos Nov 24.pdf,2024-11-01,"2,80€"
FINANCIER,"bolo de farinha de amêndoa,
manteiga caramelizada",Gateaux de voyage,TRUE,TRUE,TRUE,TRUE,,2.30,TRUE,Plano etiquetas FRUTOS Secos Nov 24.pdf,2024-11-01,"2,30€"
"FINANCIER
NOISETTES
AVELÀS",,Gateaux de voyage,TRUE,TRUE,TRUE,TRUE,,3.80,TRUE,New Paris Brest May 2025.pdf,2025-05-01,"3,80€"
"FINANCIER
PISTACHIO-FRAMBOESA","farinha de amêndoa com pistachio, confit
framboesa, crocante de pistachio",Gateaux de voyage,TRUE,TRUE,TRUE,TRUE,,3.80,TRUE,Plano etiquetas FRUTOS Secos Nov 24.pdf,2024-11-01,"3,80€"
"FOCCACIA
100%BioFlour","300gr 6,00€",Gateaux de voyage,TRUE,,,,,3.20,TRUE,Plano etiquetas Special Nov 24.pdf,2024-11-01,"3,20€"
"GATEAU BASQUE
ENTIER","tarte de massa sablé,
creme de amêndoa, rum",Gateaux de voyage,TRUE,TRUE,TRUE,,,18.00,TRUE,Plano etiquetas FRUTOS Secos Nov 24.pdf,2024-11-01,"18,00€"
"GATEAU BASQUE
ÀLA PART","tarte de massa sablé,
creme de amêndoa, rum",Gateaux de voyage,TRUE,TRUE,TRUE,,,3.30,TRUE,Plano etiquetas FRUTOS Secos Nov 24.pdf,2024-11-01,"3,30€"
PAIND'ÉPICES,"mel de baroso, raspas de citrinos,
misstura de 5 especiaras",Gateaux de voyage,,TRUE,TRUE,,,10.00,TRUE,Plano etiquetas Special Nov 24.pdf,2024-11-01,"10,00€"
POMME-CANNELLE,,Gateaux de voyage,TRUE,TRUE,TRUE,,,2.80,TRUE,Plano etiquetas Special Nov 24.pdf,2024-11-01,"2,80€"
"*VALENTIN*
-GLUTENFREE-","Confit de Framboesa
Creme de Baunilha
Framboesa Fresca",Desserts,,TRUE,TRUE,TRUE,,6.00,TRUE,New Prices June 2025.pdf,2025-06-01,"6,00€ / 24€ / 48€"
